county,n_features,elapsed_s,output_path
Abbeville,0,0.01,
Acadia,0,0.01,
Accomack,0,0.01,
Ada,0,0.01,
Adair,0,0.01,
Adair,0,0.01,
Adair,0,0.01,
Adair,0,0.01,
Adams,0,0.01,
Adams,0,0.01,
Adams,0,0.01,
Adams,0,0.01,
Adams,0,0.01,
Adams,0,0.01,
Adams,0,0.01,
Adams,0,0.01,
Adams,0,0.01,
Adams,0,0.01,
Adams,0,0.01,
Adams,0,0.01,
Addison,0,0.01,
Adjuntas,0,0.01,
Aguada,0,0.01,
Aguadilla,0,0.01,
Aguas Buenas,0,0.01,
Aibonito,0,0.01,
Aiken,0,0.01,
Aitkin,0,0.01,
Alachua,0,0.01,
Alamance,0,0.01,
Alameda,1577,0.07,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Alameda\Alameda_waterbodies.shp
Alamosa,0,0.01,
Albany,0,0.01,
Albany,0,0.01,
Albemarle,0,0.01,
Alcona,0,0.01,
Alcorn,0,0.01,
Aleutians East,0,0.01,
Aleutians West,0,0.01,
Alexander,0,0.01,
Alexander,0,0.01,
Alexandria,0,0.01,
Alfalfa,0,0.01,
Alger,0,0.01,
Allamakee,0,0.01,
Allegan,0,0.01,
Allegany,0,0.01,
Allegany,0,0.01,
Alleghany,0,0.01,
Alleghany,0,0.01,
Allegheny,0,0.01,
Allen,0,0.01,
Allen,0,0.01,
Allen,0,0.01,
Allen,0,0.01,
Allen,0,0.01,
Allendale,0,0.01,
Alpena,0,0.01,
Alpine,589,0.03,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Alpine\Alpine_waterbodies.shp
Amador,1074,0.04,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Amador\Amador_waterbodies.shp
Amelia,0,0.01,
Amherst,0,0.01,
Amite,0,0.01,
Anchorage,0,0.01,
Anderson,0,0.01,
Anderson,0,0.01,
Anderson,0,0.01,
Anderson,0,0.01,
Anderson,0,0.01,
Andrew,0,0.01,
Andrews,0,0.01,
Androscoggin,0,0.01,
Angelina,0,0.01,
Anne Arundel,0,0.01,
Anoka,0,0.01,
Anson,0,0.01,
Antelope,0,0.01,
Antrim,0,0.01,
Apache,0,0.01,
Appanoose,0,0.01,
Appling,0,0.01,
Appomattox,0,0.01,
Aransas,0,0.01,
Arapahoe,0,0.01,
Archer,0,0.01,
Archuleta,0,0.01,
Arecibo,0,0.01,
Arenac,0,0.01,
Arkansas,0,0.01,
Arlington,0,0.01,
Armstrong,0,0.01,
Armstrong,0,0.01,
Aroostook,0,0.01,
Arroyo,0,0.01,
Arthur,0,0.01,
Ascension,0,0.01,
Ashe,0,0.01,
Ashland,0,0.01,
Ashland,0,0.01,
Ashley,0,0.01,
Ashtabula,0,0.01,
Asotin,0,0.01,
Assumption,0,0.01,
Atascosa,0,0.01,
Atchison,0,0.01,
Atchison,0,0.01,
Athens,0,0.01,
Atkinson,0,0.01,
Atlantic,0,0.01,
Atoka,0,0.01,
Attala,0,0.01,
Audrain,0,0.01,
Audubon,0,0.01,
Auglaize,0,0.01,
Augusta,0,0.01,
Aurora,0,0.01,
Austin,0,0.01,
Autauga,0,0.01,
Avery,0,0.01,
Avoyelles,0,0.01,
Ańasco,0,0.01,
Baca,0,0.01,
Bacon,0,0.01,
Bailey,0,0.01,
Baker,0,0.01,
Baker,0,0.01,
Baker,0,0.01,
Baldwin,0,0.01,
Baldwin,0,0.01,
Ballard,0,0.01,
Baltimore,0,0.01,
Baltimore,0,0.01,
Bamberg,0,0.01,
Bandera,0,0.01,
Banks,0,0.01,
Banner,0,0.01,
Bannock,0,0.01,
Baraga,0,0.01,
Barber,0,0.01,
Barbour,0,0.01,
Barbour,0,0.01,
Barceloneta,0,0.01,
Barnes,0,0.01,
Barnstable,0,0.01,
Barnwell,0,0.01,
Barranquitas,0,0.01,
Barren,0,0.01,
Barron,0,0.01,
Barrow,0,0.01,
Barry,0,0.01,
Barry,0,0.01,
Bartholomew,0,0.01,
Barton,0,0.01,
Barton,0,0.01,
Bartow,0,0.01,
Bastrop,0,0.01,
Bates,0,0.01,
Bath,0,0.01,
Bath,0,0.01,
Baxter,0,0.01,
Bay,0,0.01,
Bay,0,0.01,
Bayamn,0,0.01,
Bayfield,0,0.01,
Baylor,0,0.01,
Beadle,0,0.01,
Bear Lake,0,0.01,
Beaufort,0,0.01,
Beaufort,0,0.01,
Beauregard,0,0.01,
Beaver,0,0.01,
Beaver,0,0.01,
Beaver,0,0.01,
Beaverhead,0,0.01,
Becker,0,0.01,
Beckham,0,0.01,
Bedford,0,0.01,
Bedford,0,0.01,
Bedford,0,0.01,
Bee,0,0.01,
Belknap,0,0.01,
Bell,0,0.01,
Bell,0,0.01,
Belmont,0,0.01,
Beltrami,0,0.01,
Ben Hill,0,0.01,
Benewah,0,0.01,
Bennett,0,0.01,
Bennington,0,0.01,
Benson,0,0.01,
Bent,0,0.01,
Benton,0,0.01,
Benton,0,0.01,
Benton,0,0.01,
Benton,0,0.01,
Benton,0,0.01,
Benton,0,0.01,
Benton,0,0.01,
Benton,0,0.01,
Benton,0,0.01,
Benzie,0,0.01,
Bergen,0,0.01,
Berkeley,0,0.01,
Berkeley,0,0.01,
Berks,0,0.01,
Berkshire,0,0.01,
Bernalillo,0,0.01,
Berrien,0,0.01,
Berrien,0,0.01,
Bertie,0,0.01,
Bethel,0,0.01,
Bexar,0,0.01,
Bibb,0,0.01,
Bibb,0,0.01,
Bienville,0,0.01,
Big Horn,0,0.01,
Big Horn,0,0.01,
Big Stone,0,0.01,
Billings,0,0.01,
Bingham,0,0.01,
Black Hawk,0,0.01,
Blackford,0,0.01,
Bladen,0,0.01,
Blaine,0,0.01,
Blaine,0,0.01,
Blaine,0,0.01,
Blaine,0,0.01,
Blair,0,0.01,
Blanco,0,0.01,
Bland,0,0.01,
Bleckley,0,0.01,
Bledsoe,0,0.01,
Blount,0,0.01,
Blount,0,0.01,
Blue Earth,0,0.01,
Boise,0,0.01,
Bolivar,0,0.01,
Bollinger,0,0.01,
Bon Homme,0,0.01,
Bond,0,0.01,
Bonner,0,0.01,
Bonneville,0,0.01,
Boone,0,0.01,
Boone,0,0.01,
Boone,0,0.01,
Boone,0,0.01,
Boone,0,0.01,
Boone,0,0.01,
Boone,0,0.01,
Boone,0,0.01,
Borden,0,0.01,
Bosque,0,0.01,
Bossier,0,0.01,
Botetourt,0,0.01,
Bottineau,0,0.01,
Boulder,0,0.01,
Boundary,0,0.01,
Bourbon,0,0.01,
Bourbon,0,0.01,
Bowie,0,0.01,
Bowman,0,0.02,
Box Butte,0,0.01,
Box Elder,0,0.01,
Boyd,0,0.01,
Boyd,0,0.01,
Boyle,0,0.01,
Bracken,0,0.01,
Bradford,0,0.01,
Bradford,0,0.01,
Bradley,0,0.01,
Bradley,0,0.01,
Branch,0,0.01,
Brantley,0,0.01,
Braxton,0,0.01,
Brazoria,0,0.01,
Brazos,0,0.01,
Breathitt,0,0.01,
Breckinridge,0,0.01,
Bremer,0,0.01,
Brevard,0,0.01,
Brewster,0,0.01,
Briscoe,0,0.01,
Bristol,0,0.01,
Bristol,0,0.01,
Bristol,0,0.01,
Bristol Bay,0,0.01,
Broadwater,0,0.01,
Bronx,0,0.01,
Brooke,0,0.01,
Brookings,0,0.01,
Brooks,0,0.01,
Brooks,0,0.01,
Broome,0,0.01,
Broomfield,0,0.01,
Broward,0,0.01,
Brown,0,0.01,
Brown,0,0.01,
Brown,0,0.01,
Brown,0,0.01,
Brown,0,0.01,
Brown,0,0.01,
Brown,0,0.01,
Brown,0,0.01,
Brown,0,0.01,
Brule,0,0.01,
Brunswick,0,0.01,
Brunswick,0,0.01,
Bryan,0,0.01,
Bryan,0,0.01,
Buchanan,0,0.01,
Buchanan,0,0.01,
Buchanan,0,0.01,
Buckingham,0,0.01,
Bucks,0,0.01,
Buena Vista,0,0.01,
Buena Vista,0,0.01,
Buffalo,0,0.01,
Buffalo,0,0.01,
Buffalo,0,0.01,
Bullitt,0,0.01,
Bulloch,0,0.01,
Bullock,0,0.01,
Buncombe,0,0.01,
Bureau,0,0.01,
Burke,0,0.01,
Burke,0,0.01,
Burke,0,0.01,
Burleigh,0,0.01,
Burleson,0,0.01,
Burlington,0,0.01,
Burnet,0,0.01,
Burnett,0,0.01,
Burt,0,0.01,
Butler,0,0.01,
Butler,0,0.01,
Butler,0,0.01,
Butler,0,0.01,
Butler,0,0.01,
Butler,0,0.01,
Butler,0,0.01,
Butler,0,0.01,
Butte,0,0.01,
Butte,0,0.01,
Butte,1420,0.06,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Butte\Butte_waterbodies.shp
Butts,0,0.01,
Cabarrus,0,0.01,
Cabell,0,0.01,
Cabo Rojo,0,0.01,
Cache,0,0.01,
Caddo,0,0.01,
Caddo,0,0.01,
Caguas,0,0.01,
Calaveras,1182,0.05,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Calaveras\Calaveras_waterbodies.shp
Calcasieu,0,0.01,
Caldwell,0,0.01,
Caldwell,0,0.01,
Caldwell,0,0.01,
Caldwell,0,0.01,
Caldwell,0,0.01,
Caledonia,0,0.01,
Calhoun,0,0.01,
Calhoun,0,0.01,
Calhoun,0,0.01,
Calhoun,0,0.01,
Calhoun,0,0.01,
Calhoun,0,0.01,
Calhoun,0,0.01,
Calhoun,0,0.01,
Calhoun,0,0.01,
Calhoun,0,0.01,
Calhoun,0,0.01,
Callahan,0,0.01,
Callaway,0,0.01,
Calloway,0,0.01,
Calumet,0,0.01,
Calvert,0,0.01,
Camas,0,0.01,
Cambria,0,0.01,
Camden,0,0.01,
Camden,0,0.01,
Camden,0,0.01,
Camden,0,0.01,
Cameron,0,0.01,
Cameron,0,0.01,
Cameron,0,0.01,
Camp,0,0.01,
Campbell,0,0.01,
Campbell,0,0.01,
Campbell,0,0.01,
Campbell,0,0.01,
Campbell,0,0.01,
Camuy,0,0.01,
Canadian,0,0.01,
Candler,0,0.01,
Cannon,0,0.01,
Canvanas,0,0.01,
Canyon,0,0.01,
Cape Girardeau,0,0.01,
Cape May,0,0.01,
Carbon,0,0.01,
Carbon,0,0.01,
Carbon,0,0.01,
Carbon,0,0.01,
Caribou,0,0.01,
Carlisle,0,0.01,
Carlton,0,0.01,
Carolina,0,0.01,
Caroline,0,0.01,
Caroline,0,0.01,
Carroll,0,0.01,
Carroll,0,0.01,
Carroll,0,0.01,
Carroll,0,0.01,
Carroll,0,0.01,
Carroll,0,0.01,
Carroll,0,0.01,
Carroll,0,0.01,
Carroll,0,0.01,
Carroll,0,0.01,
Carroll,0,0.01,
Carroll,0,0.01,
Carroll,0,0.01,
Carson,0,0.01,
Carson,1,0.01,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Carson\Carson_waterbodies.shp
Carter,0,0.01,
Carter,0,0.01,
Carter,0,0.01,
Carter,0,0.01,
Carter,0,0.01,
Carteret,0,0.01,
Carver,0,0.01,
Cascade,0,0.01,
Casey,0,0.01,
Cass,0,0.01,
Cass,0,0.01,
Cass,0,0.01,
Cass,0,0.01,
Cass,0,0.01,
Cass,0,0.01,
Cass,0,0.01,
Cass,0,0.01,
Cass,0,0.01,
Cassia,0,0.01,
Castro,0,0.01,
Caswell,0,0.01,
Catahoula,0,0.01,
Catawba,0,0.01,
Catańo,0,0.01,
Catoosa,0,0.01,
Catron,0,0.01,
Cattaraugus,0,0.01,
Cavalier,0,0.01,
Cayey,0,0.01,
Cayuga,0,0.02,
Cecil,0,0.01,
Cedar,0,0.01,
Cedar,0,0.01,
Cedar,0,0.01,
Ceiba,0,0.01,
Centre,0,0.01,
Cerro Gordo,0,0.01,
Chaffee,0,0.01,
Chambers,0,0.01,
Chambers,0,0.01,
Champaign,0,0.01,
Champaign,0,0.01,
Chariton,0,0.01,
Charles,0,0.01,
Charles City,0,0.01,
Charles Mix,0,0.01,
Charleston,0,0.01,
Charlevoix,0,0.01,
Charlotte,0,0.01,
Charlotte,0,0.01,
Charlottesville,0,0.01,
Charlton,0,0.01,
Chase,0,0.01,
Chase,0,0.01,
Chatham,0,0.01,
Chatham,0,0.01,
Chattahoochee,0,0.01,
Chattooga,0,0.02,
Chautauqua,0,0.01,
Chautauqua,0,0.01,
Chaves,0,0.01,
Cheatham,0,0.01,
Cheboygan,0,0.01,
Chelan,0,0.01,
Chemung,0,0.01,
Chenango,0,0.01,
Cherokee,0,0.01,
Cherokee,0,0.01,
Cherokee,0,0.01,
Cherokee,0,0.01,
Cherokee,0,0.01,
Cherokee,0,0.01,
Cherokee,0,0.01,
Cherokee,0,0.01,
Cherry,0,0.01,
Chesapeake,0,0.01,
Cheshire,0,0.01,
Chester,0,0.01,
Chester,0,0.01,
Chester,0,0.01,
Chesterfield,0,0.01,
Chesterfield,0,0.01,
Cheyenne,0,0.01,
Cheyenne,0,0.01,
Cheyenne,0,0.01,
Chickasaw,0,0.01,
Chickasaw,0,0.01,
Chicot,0,0.01,
Childress,0,0.01,
Chilton,0,0.01,
Chippewa,0,0.01,
Chippewa,0,0.01,
Chippewa,0,0.01,
Chisago,0,0.01,
Chittenden,0,0.01,
Choctaw,0,0.01,
Choctaw,0,0.01,
Choctaw,0,0.01,
Chouteau,0,0.01,
Chowan,0,0.01,
Christian,0,0.01,
Christian,0,0.01,
Christian,0,0.01,
Chugach,0,0.01,
Churchill,0,0.01,
Ciales,0,0.01,
Cibola,0,0.01,
Cidra,0,0.01,
Cimarron,0,0.01,
Citrus,0,0.01,
Clackamas,0,0.01,
Claiborne,0,0.01,
Claiborne,0,0.01,
Claiborne,0,0.01,
Clallam,0,0.01,
Clare,0,0.01,
Clarendon,0,0.01,
Clarion,0,0.01,
Clark,0,0.01,
Clark,0,0.01,
Clark,0,0.01,
Clark,0,0.01,
Clark,0,0.01,
Clark,0,0.01,
Clark,0,0.01,
Clark,0,0.01,
Clark,0,0.01,
Clark,0,0.01,
Clark,0,0.01,
Clark,1,0.01,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Clark\Clark_waterbodies.shp
Clarke,0,0.01,
Clarke,0,0.01,
Clarke,0,0.01,
Clarke,0,0.01,
Clarke,0,0.01,
Clatsop,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clay,0,0.01,
Clayton,0,0.01,
Clayton,0,0.01,
Clear Creek,0,0.01,
Clearfield,0,0.01,
Clearwater,0,0.01,
Clearwater,0,0.01,
Cleburne,0,0.01,
Cleburne,0,0.02,
Clermont,0,0.01,
Cleveland,0,0.01,
Cleveland,0,0.01,
Cleveland,0,0.01,
Clinch,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Clinton,0,0.01,
Cloud,0,0.01,
Coahoma,0,0.01,
Coal,0,0.01,
Coamo,0,0.01,
Cobb,0,0.01,
Cochise,0,0.01,
Cochran,0,0.01,
Cocke,0,0.01,
Coconino,0,0.01,
Codington,0,0.01,
Coffee,0,0.01,
Coffee,0,0.01,
Coffee,0,0.04,
Coffey,0,0.01,
Coke,0,0.01,
Colbert,0,0.01,
Cole,0,0.01,
Coleman,0,0.01,
Coles,0,0.01,
Colfax,0,0.01,
Colfax,0,0.01,
Colleton,0,0.01,
Collier,0,0.01,
Collin,0,0.01,
Collingsworth,0,0.01,
Colonial Heights,0,0.01,
Colorado,0,0.01,
Colquitt,0,0.01,
Columbia,0,0.01,
Columbia,0,0.01,
Columbia,0,0.01,
Columbia,0,0.01,
Columbia,0,0.01,
Columbia,0,0.01,
Columbia,0,0.01,
Columbia,0,0.02,
Columbiana,0,0.01,
Columbus,0,0.01,
Colusa,605,0.03,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Colusa\Colusa_waterbodies.shp
Comal,0,0.01,
Comanche,0,0.01,
Comanche,0,0.01,
Comanche,0,0.01,
Comero,0,0.01,
Concho,0,0.01,
Concordia,0,0.01,
Conecuh,0,0.01,
Conejos,0,0.01,
Contra Costa,1472,0.08,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Contra_Costa\Contra_Costa_waterbodies.shp
Converse,0,0.01,
Conway,0,0.01,
Cook,0,0.01,
Cook,0,0.01,
Cook,0,0.01,
Cooke,0,0.02,
Cooper,0,0.01,
Coos,0,0.01,
Coos,0,0.01,
Coosa,0,0.01,
Copiah,0,0.01,
Copper River,0,0.01,
Corozal,0,0.01,
Corson,0,0.01,
Cortland,0,0.01,
Coryell,0,0.01,
Coshocton,0,0.01,
Costilla,0,0.01,
Cottle,0,0.01,
Cotton,0,0.01,
Cottonwood,0,0.01,
Covington,0,0.01,
Covington,0,0.01,
Covington,0,0.01,
Coweta,0,0.01,
Cowley,0,0.01,
Cowlitz,0,0.01,
Craig,0,0.01,
Craig,0,0.01,
Craighead,0,0.01,
Crane,0,0.01,
Craven,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Crawford,0,0.01,
Creek,0,0.01,
Crenshaw,0,0.01,
Crisp,0,0.01,
Crittenden,0,0.01,
Crittenden,0,0.01,
Crockett,0,0.01,
Crockett,0,0.01,
Crook,0,0.01,
Crook,0,0.01,
Crosby,0,0.01,
Cross,0,0.01,
Crow Wing,0,0.01,
Crowley,0,0.01,
Culberson,0,0.01,
Culebra,0,0.01,
Cullman,0,0.01,
Culpeper,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cumberland,0,0.01,
Cuming,0,0.01,
Currituck,0,0.01,
Curry,0,0.01,
Curry,1,0.01,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Curry\Curry_waterbodies.shp
Custer,0,0.01,
Custer,0,0.01,
Custer,0,0.01,
Custer,0,0.01,
Custer,0,0.01,
Custer,0,0.02,
Cuyahoga,0,0.01,
Dade,0,0.01,
Dade,0,0.01,
Daggett,0,0.01,
Dakota,0,0.01,
Dakota,0,0.01,
Dale,0,0.01,
Dallam,0,0.01,
Dallas,0,0.01,
Dallas,0,0.01,
Dallas,0,0.01,
Dallas,0,0.01,
Dallas,0,0.01,
Dane,0,0.01,
Daniels,0,0.01,
Danville,0,0.01,
Dare,0,0.01,
Darke,0,0.01,
Darlington,0,0.01,
Dauphin,0,0.01,
Davidson,0,0.01,
Davidson,0,0.01,
Davie,0,0.01,
Daviess,0,0.01,
Daviess,0,0.01,
Daviess,0,0.01,
Davis,0,0.01,
Davis,0,0.01,
Davison,0,0.01,
Dawes,0,0.01,
Dawson,0,0.01,
Dawson,0,0.01,
Dawson,0,0.01,
Dawson,0,0.01,
Day,0,0.01,
De Soto,0,0.01,
De Witt,0,0.01,
DeBaca,0,0.01,
DeKalb,0,0.01,
DeKalb,0,0.01,
DeKalb,0,0.01,
DeKalb,0,0.01,
DeKalb,0,0.01,
DeKalb,0,0.01,
DeSoto,0,0.01,
DeSoto,0,0.01,
DeWitt,0,0.01,
Deaf Smith,0,0.01,
Dearborn,0,0.01,
Decatur,0,0.01,
Decatur,0,0.01,
Decatur,0,0.01,
Decatur,0,0.01,
Decatur,0,0.01,
Deer Lodge,0,0.01,
Defiance,0,0.01,
Del Norte,241,0.04,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Del_Norte\Del_Norte_waterbodies.shp
Delaware,0,0.01,
Delaware,0,0.01,
Delaware,0,0.01,
Delaware,0,0.01,
Delaware,0,0.01,
Delaware,0,0.02,
Delta,0,0.01,
Delta,0,0.01,
Delta,0,0.01,
Denali,0,0.01,
Dent,0,0.01,
Denton,0,0.01,
Denver,0,0.01,
Des Moines,0,0.01,
Deschutes,0,0.01,
Desha,0,0.01,
Deuel,0,0.01,
Deuel,0,0.01,
Dewey,0,0.01,
Dewey,0,0.01,
Dickens,0,0.01,
Dickenson,0,0.01,
Dickey,0,0.01,
Dickinson,0,0.01,
Dickinson,0,0.01,
Dickinson,0,0.01,
Dickson,0,0.01,
Dillingham,0,0.01,
Dillon,0,0.01,
Dimmit,0,0.01,
Dinwiddie,0,0.01,
Divide,0,0.01,
Dixie,0,0.01,
Dixon,0,0.01,
Doddridge,0,0.01,
Dodge,0,0.01,
Dodge,0,0.01,
Dodge,0,0.01,
Dodge,0,0.01,
Dolores,0,0.01,
Doniphan,0,0.01,
Donley,0,0.01,
Dooly,0,0.01,
Door,0,0.01,
Dorado,0,0.01,
Dorchester,0,0.01,
Dorchester,0,0.01,
Dougherty,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,0,0.01,
Douglas,5,0.01,Y:\personal\mcallahan\Business\WattsonWater\DATA\Hydrography\County_NHD\Douglas\Douglas_waterbodies.shp
Dońa Ana,0,0.01,
Drew,0,0.01,
DuPage,0,0.01,
